timestamp,theta,delta,attention,meditation,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,SDNN_over_RMSSD,CVNN,SDNN,RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num,event
2023-07-12_17:39:57.080524,23445,90139,69,37,2027,974,923,3903,765,686,0,0,828,75,0.699269453,0.076987342,63.14501828,90.30141099,0.9,0.7,0.6,0.533333333,0.4,0,0,0,0,
2023-07-12_17:39:58.102982,2325,18080,83,48,813,1033,2113,1773,1125,299,0,0,794,75,0.710288172,0.076453494,62.75812475,88.35586353,0.9,0.7,0.633333333,0.533333333,0.4,0,0,0,0,
2023-07-12_17:39:59.127738,47653,9103,78,48,12710,11852,4730,17078,12873,7432,0,0,834,73,0.702187398,0.075566421,61.8485965,88.07990103,0.9,0.666666667,0.566666667,0.466666667,0.366666667,0,0,0,0,
2023-07-12_17:40:00.151093,73148,71433,51,47,6179,6897,2448,2707,884,1134,0,0,862,71,0.712520466,0.076043694,62.33048122,87.47886444,0.933333333,0.7,0.566666667,0.466666667,0.366666667,0,0,0,0,
2023-07-12_17:40:01.170477,90808,288400,41,60,43890,2688,7121,7511,4233,6978,0,0,840,72,0.69854711,0.074762799,61.16095341,87.55451504,0.933333333,0.7,0.533333333,0.433333333,0.333333333,0,0,0,0,
2023-07-12_17:40:02.191763,8877,12947,48,61,10999,7529,13530,25565,8564,3805,0,0,812,73,0.69477846,0.073718079,60.1441232,86.56590075,0.933333333,0.733333333,0.533333333,0.433333333,0.333333333,0,0,0,0,
2023-07-12_17:40:03.214542,22515,25608,54,61,3924,9663,6316,16597,8880,1989,0,0,860,72,0.714864399,0.074098557,60.59779974,84.76824389,0.933333333,0.733333333,0.533333333,0.433333333,0.3,0,0,0,0,
2023-07-12_17:40:04.237590,18561,19567,80,64,2864,6573,4454,17849,9803,2965,0,0,828,71,0.679208496,0.070770762,57.64986268,84.87800576,0.933333333,0.733333333,0.533333333,0.433333333,0.266666667,0,0,0,0,
2023-07-12_17:40:05.262103,35154,72155,83,54,4163,1235,1460,3250,1133,492,0,0,802,72,0.677853694,0.070492333,57.31026668,84.54666126,0.933333333,0.733333333,0.5,0.4,0.266666667,0,0,0,0,
2023-07-12_17:40:06.285031,25799,68295,70,34,40,859,3367,3029,1622,1342,0,0,822,71,0.680492637,0.070415511,57.29475446,84.19599466,0.933333333,0.733333333,0.466666667,0.366666667,0.266666667,0,0,0,0,
